temperature,humidity,moisture,n,p,k,rainfall,ph,light_hours,light_intensity,rh,nitrogen,phosphorus,potassium,yield,n_ratio,p_ratio,k_ratio,ec,oc,om,zn,fe,cu,mn,sand,silt,clay,caco3,cec,output,s,b,soil type,crop type,fertilizer name,season,fertility,photoperiod,category_ph,soil_type
26.0,52.0,38.0,37.0,0.0,0.0,761.5833857,6.2494275712,13.139767876,589.7870546800001,92.360488384,135.03351362,60.236993688000005,136.010419,12.116798878,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,19.0,7.0,4.0,1.0,2.0,0.0,1.0
29.0,52.0,45.0,12.0,0.0,36.0,1133.01855242,6.2026772458,6.9282175,385.64719804,70.323216788,135.08673612,110.197658234,220.5261887,38.5525188318,11.2,11.2,11.2,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,28.0,5.0,2.0,1.0,2.0,0.0,1.0
34.0,65.0,62.0,7.0,9.0,30.0,1083.602583,6.679750125,9.1976203936,477.43676908,73.19694721399999,108.06239674,53.349269166,167.85851009599995,28.256890088,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,9.0,1.0,6.0,1.0,2.0,0.0,1.0
32.0,62.0,34.0,22.0,0.0,20.0,644.98758452,6.480734507799999,6.8776178244,308.86041518,89.818810188,90.293846646,41.461186076,54.907839948,47.65542109,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,29.0,4.0,4.0,1.0,2.0,0.0,1.0
28.0,54.0,46.0,35.0,0.0,0.0,1946.4574678,6.7317946272,6.774775569400001,199.37160618,94.023842682,131.08721824,40.047580666,84.706986332,4.0116966124,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,1.0,22.0,7.0,5.0,1.0,2.0,0.0,1.0
26.0,52.0,35.0,12.0,10.0,13.0,846.8940767,6.5428068432,7.241036945199999,379.31815992,55.343650126,138.84167634,79.94720843799999,193.1085537,23.551928448,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,2.0,2.0,8.0,1.0,2.0,0.0,1.0
25.0,50.0,64.0,9.0,0.0,10.0,914.49201918,6.385788783200001,9.5758844184,510.6746993800001,76.020163884,343.80957322000006,145.29463403999998,525.16563592,24.788032626,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,4.0,9.0,3.0,6.0,1.0,2.0,0.0,1.0
33.0,64.0,50.0,41.0,0.0,0.0,666.29840152,6.530303561400001,7.0576626992,306.47440282,90.126981006,89.37293411200001,40.855936376,54.657193748,48.255935056,10.0,10.0,10.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,2.0,32.0,7.0,8.0,1.0,2.0,0.0,1.0
30.0,60.0,42.0,21.0,0.0,18.0,1480.05932222,6.717093413000001,9.5058351464,350.53880704,93.731220098,130.79020752,50.340249644,109.144639186,7.025078724400001,11.8,11.8,11.8,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,5.0,20.0,4.0,4.0,1.0,2.0,0.0,1.0
29.0,58.0,33.0,9.0,7.0,30.0,1981.468093,6.813130194,6.7156621864,195.54116038,94.151293992,129.41174324,40.58007705,86.80649619799999,4.057697769999999,13.0,13.0,13.0,0.28600000000000003,0.052000000000000005,0.08399999999999999,0.5,3.5199999999999996,0.248,2.6,92.54,2.9799999999999995,4.4799999999999995,2.068,4.946,0.8,12.788,1.1340000000000001,0.0,21.0,1.0,4.0,1.0,2.0,0.0,1.0
