n,p,k,ec,oc,s,zn,fe,cu,mn,b,temperature,humidity,ph,rainfall,crop type
90.0,42.0,43.0,0.62,0.7,5.9,0.24,0.31,0.77,8.71,0.11,20.87974371,82.00274423,6.502985292,202.9355362,rice
85.0,58.0,41.0,0.75,1.06,25.4,0.3,0.86,1.54,2.89,2.29,21.77046169,80.31964408,7.038096361,226.6555374,rice
60.0,55.0,44.0,0.51,1.11,14.3,0.3,0.86,1.57,2.7,2.03,23.00445915,82.3207629,7.840207144,263.9642476,rice
74.0,35.0,40.0,0.58,0.94,26.0,0.34,0.54,1.53,2.65,1.82,26.49109635,80.15836264,6.980400905,242.8640342,rice
78.0,42.0,42.0,0.4,0.86,11.8,0.25,0.76,1.69,2.43,2.26,20.13017482,81.60487287,7.628472891,262.7173405,rice
69.0,37.0,42.0,0.65,0.72,11.7,0.37,0.66,0.9,2.19,1.82,23.05804872,83.37011772,7.073453503,251.0549998,rice
69.0,55.0,38.0,0.43,0.81,7.4,0.34,0.69,1.05,2.0,1.88,22.70883798,82.63941394,5.70080568,271.3248604,rice
94.0,53.0,40.0,0.59,0.69,7.6,0.32,0.68,0.62,2.43,1.68,20.27774362,82.89408619,5.718627178,241.9741949,rice
89.0,54.0,38.0,0.44,0.67,7.3,0.63,0.66,0.94,2.43,1.79,24.51588066,83.5352163,6.685346424,230.4462359,rice
68.0,58.0,38.0,0.33,0.78,9.0,0.69,0.41,1.15,2.75,2.0,23.22397386,83.03322691,6.336253525,221.2091958,rice
91.0,53.0,40.0,0.45,0.97,9.6,0.71,0.38,1.33,2.79,2.41,26.52723513,81.41753846,5.386167788,264.6148697,rice
90.0,46.0,42.0,0.73,0.89,9.2,0.63,0.47,1.03,2.79,2.38,23.97898217,81.45061596,7.50283396,250.0832336,rice
78.0,58.0,44.0,0.6,0.78,9.7,0.73,0.36,1.32,3.32,2.12,26.80079604,80.88684822,5.108681786,284.4364567,rice
93.0,56.0,36.0,0.53,0.81,10.2,0.51,0.56,1.26,2.9,2.29,24.01497622,82.05687182,6.98435366,185.2773389,rice
94.0,50.0,37.0,0.77,0.72,9.7,0.58,0.47,1.02,3.77,2.56,25.66585205,80.66385045,6.94801983,209.5869708,rice
60.0,48.0,39.0,0.34,0.67,10.6,0.77,0.41,1.28,3.04,2.79,24.28209415,80.30025587,7.042299069,231.0863347,rice
85.0,38.0,41.0,0.88,0.75,11.0,0.46,0.38,1.16,2.96,1.32,21.58711777,82.7883708,6.249050656,276.6552459,rice
91.0,35.0,39.0,0.55,0.67,10.2,0.28,0.44,1.26,7.75,2.56,23.79391957,80.41817957,6.970859754,206.2611855,rice
77.0,38.0,36.0,0.78,0.61,10.5,0.3,0.49,0.66,7.74,1.85,21.8652524,80.1923008,5.953933276,224.5550169,rice
88.0,35.0,40.0,0.63,0.78,11.6,0.29,0.43,0.57,7.73,0.74,23.57943626,83.58760316,5.85393208,291.2986618,rice
89.0,45.0,36.0,0.62,0.75,11.0,0.32,0.5,0.81,4.99,2.65,21.32504158,80.47476396,6.442475375,185.4974732,rice
76.0,40.0,43.0,0.51,0.69,23.6,0.28,0.93,1.04,2.17,1.97,25.15745531,83.11713476,5.070175667,231.3843163,rice
67.0,59.0,41.0,0.68,0.75,27.2,0.28,0.72,1.04,2.43,0.94,21.94766735,80.97384195,6.012632591,213.3560921,rice
